release_id,spine_status,drive_file_id,drive_parent_id,working_view_url,working_embed_url,working_direct_url,listed_utc,source_url,mirror_url
DOD_111830151,INDEXED,1tCA8i48nu0FjbNPIdMpOcEnBKLTijjWV,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1tCA8i48nu0FjbNPIdMpOcEnBKLTijjWV/view,https://drive.google.com/file/d/1tCA8i48nu0FjbNPIdMpOcEnBKLTijjWV/preview,https://drive.usercontent.google.com/download?id=1tCA8i48nu0FjbNPIdMpOcEnBKLTijjWV&export=download&confirm=t,2026-08-08,,
DOD_111830201,INDEXED,1ekh31fRJ1PZHi6WiqPQadwxiPhIEb1ZS,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1ekh31fRJ1PZHi6WiqPQadwxiPhIEb1ZS/view,https://drive.google.com/file/d/1ekh31fRJ1PZHi6WiqPQadwxiPhIEb1ZS/preview,https://drive.usercontent.google.com/download?id=1ekh31fRJ1PZHi6WiqPQadwxiPhIEb1ZS&export=download&confirm=t,2026-08-08,,
DOD_111887376,INDEXED,1tKeuVkd6wQWLDRYRyXCCGwjvgPUK_Mra,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1tKeuVkd6wQWLDRYRyXCCGwjvgPUK_Mra/view,https://drive.google.com/file/d/1tKeuVkd6wQWLDRYRyXCCGwjvgPUK_Mra/preview,https://drive.usercontent.google.com/download?id=1tKeuVkd6wQWLDRYRyXCCGwjvgPUK_Mra&export=download&confirm=t,2026-08-08,,
DOD_111887380,INDEXED,1Oum-eagpkSy0CSHlnM4tbdzzMOHJ5tH3,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Oum-eagpkSy0CSHlnM4tbdzzMOHJ5tH3/view,https://drive.google.com/file/d/1Oum-eagpkSy0CSHlnM4tbdzzMOHJ5tH3/preview,https://drive.usercontent.google.com/download?id=1Oum-eagpkSy0CSHlnM4tbdzzMOHJ5tH3&export=download&confirm=t,2026-08-08,,
DOD_111887384,NOT_INGESTED,18bCzFkI-l8QGTVBg9_vRPK3GO44E3Xq_,0ANXFJdIidbpBUk9PVA,https://drive.google.com/file/d/18bCzFkI-l8QGTVBg9_vRPK3GO44E3Xq_/view,https://drive.google.com/file/d/18bCzFkI-l8QGTVBg9_vRPK3GO44E3Xq_/preview,https://drive.usercontent.google.com/download?id=18bCzFkI-l8QGTVBg9_vRPK3GO44E3Xq_&export=download&confirm=t,2026-08-08,,
DOD_111887390,INDEXED,1HWqEvqZGR48Nh0Zy5fyHXiU8nqBkj_VD,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1HWqEvqZGR48Nh0Zy5fyHXiU8nqBkj_VD/view,https://drive.google.com/file/d/1HWqEvqZGR48Nh0Zy5fyHXiU8nqBkj_VD/preview,https://drive.usercontent.google.com/download?id=1HWqEvqZGR48Nh0Zy5fyHXiU8nqBkj_VD&export=download&confirm=t,2026-08-08,,
DOD_111887401,INDEXED,1Tds0grPe8LRH6p7_UzPrzPCIjLuxySqK,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Tds0grPe8LRH6p7_UzPrzPCIjLuxySqK/view,https://drive.google.com/file/d/1Tds0grPe8LRH6p7_UzPrzPCIjLuxySqK/preview,https://drive.usercontent.google.com/download?id=1Tds0grPe8LRH6p7_UzPrzPCIjLuxySqK&export=download&confirm=t,2026-08-08,,
DOD_111887407,INDEXED,1MlTQJ5yRR7-ourdkAHGWdW8oU29FCkbt,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1MlTQJ5yRR7-ourdkAHGWdW8oU29FCkbt/view,https://drive.google.com/file/d/1MlTQJ5yRR7-ourdkAHGWdW8oU29FCkbt/preview,https://drive.usercontent.google.com/download?id=1MlTQJ5yRR7-ourdkAHGWdW8oU29FCkbt&export=download&confirm=t,2026-08-08,,
DOD_111887413,INDEXED,1sbWZZQFz7XLAQkqwnpO2hwhtawgpL0Gr,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1sbWZZQFz7XLAQkqwnpO2hwhtawgpL0Gr/view,https://drive.google.com/file/d/1sbWZZQFz7XLAQkqwnpO2hwhtawgpL0Gr/preview,https://drive.usercontent.google.com/download?id=1sbWZZQFz7XLAQkqwnpO2hwhtawgpL0Gr&export=download&confirm=t,2026-08-08,,
DOD_111887419,INDEXED,1kJDnZ_nH_gTHh_x8J9TIcHD2Y4Fp044Q,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1kJDnZ_nH_gTHh_x8J9TIcHD2Y4Fp044Q/view,https://drive.google.com/file/d/1kJDnZ_nH_gTHh_x8J9TIcHD2Y4Fp044Q/preview,https://drive.usercontent.google.com/download?id=1kJDnZ_nH_gTHh_x8J9TIcHD2Y4Fp044Q&export=download&confirm=t,2026-08-08,,
DOD_111887421,INDEXED,1lC4OWifYvEBtPOsugmJ_n-X7j5zxfQbk,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1lC4OWifYvEBtPOsugmJ_n-X7j5zxfQbk/view,https://drive.google.com/file/d/1lC4OWifYvEBtPOsugmJ_n-X7j5zxfQbk/preview,https://drive.usercontent.google.com/download?id=1lC4OWifYvEBtPOsugmJ_n-X7j5zxfQbk&export=download&confirm=t,2026-08-08,,
DOD_111887426,INDEXED,1XZCH43hLYqI8KbZrb1LSir0Mndl-eh0B,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1XZCH43hLYqI8KbZrb1LSir0Mndl-eh0B/view,https://drive.google.com/file/d/1XZCH43hLYqI8KbZrb1LSir0Mndl-eh0B/preview,https://drive.usercontent.google.com/download?id=1XZCH43hLYqI8KbZrb1LSir0Mndl-eh0B&export=download&confirm=t,2026-08-08,,
DOD_111887427,INDEXED,1g-ElrRdXfFH3PA6TNES5y3hs967Pk3-B,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1g-ElrRdXfFH3PA6TNES5y3hs967Pk3-B/view,https://drive.google.com/file/d/1g-ElrRdXfFH3PA6TNES5y3hs967Pk3-B/preview,https://drive.usercontent.google.com/download?id=1g-ElrRdXfFH3PA6TNES5y3hs967Pk3-B&export=download&confirm=t,2026-08-08,,
DOD_111887430,INDEXED,1GSMoDaDyvPtqTKMcUsNK5F63rUKbdU05,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1GSMoDaDyvPtqTKMcUsNK5F63rUKbdU05/view,https://drive.google.com/file/d/1GSMoDaDyvPtqTKMcUsNK5F63rUKbdU05/preview,https://drive.usercontent.google.com/download?id=1GSMoDaDyvPtqTKMcUsNK5F63rUKbdU05&export=download&confirm=t,2026-08-08,,
DOD_111887439,INDEXED,1Jr9e7RbRj4YZrfSmnbSGBveX5X42lysu,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Jr9e7RbRj4YZrfSmnbSGBveX5X42lysu/view,https://drive.google.com/file/d/1Jr9e7RbRj4YZrfSmnbSGBveX5X42lysu/preview,https://drive.usercontent.google.com/download?id=1Jr9e7RbRj4YZrfSmnbSGBveX5X42lysu&export=download&confirm=t,2026-08-08,,
DOD_111887446,INDEXED,1yoPiL1UmlQHfEY4VLMX_Q5XJh232HAX3,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1yoPiL1UmlQHfEY4VLMX_Q5XJh232HAX3/view,https://drive.google.com/file/d/1yoPiL1UmlQHfEY4VLMX_Q5XJh232HAX3/preview,https://drive.usercontent.google.com/download?id=1yoPiL1UmlQHfEY4VLMX_Q5XJh232HAX3&export=download&confirm=t,2026-08-08,,
DOD_111887456,INDEXED,1sxKng5TWdXDFuGsckMKsniyvCdpHNhLb,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1sxKng5TWdXDFuGsckMKsniyvCdpHNhLb/view,https://drive.google.com/file/d/1sxKng5TWdXDFuGsckMKsniyvCdpHNhLb/preview,https://drive.usercontent.google.com/download?id=1sxKng5TWdXDFuGsckMKsniyvCdpHNhLb&export=download&confirm=t,2026-08-08,,
DOD_111887460,INDEXED,1Be4iXk6KrhikNvrR7DYqly6E5EkfqBtI,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Be4iXk6KrhikNvrR7DYqly6E5EkfqBtI/view,https://drive.google.com/file/d/1Be4iXk6KrhikNvrR7DYqly6E5EkfqBtI/preview,https://drive.usercontent.google.com/download?id=1Be4iXk6KrhikNvrR7DYqly6E5EkfqBtI&export=download&confirm=t,2026-08-08,,
