release_id,source_file,title_meta,subject_meta,author_meta,producer,pdf_created,pdf_modified,pages,file_bytes,sha256,pages_no_text_layer,mean_ocr_quality,segments,release_stamps,doc_id_stamps,source_url,mirror_url,working_url
65-HS1-834228961-62-HQ-83894-Serial-153.pdf,65-HS1-834228961-62-HQ-83894-Serial-153.pdf,65_HS1-834228961_62-HQ-83894_Serial_153,65_HS1-834228961_62-HQ-83894_Serial_153,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:26:05 2026 UTC,Tue May 12 16:53:05 2026 UTC,9,1082077,0df8c23b9c7710c849ebffc9d17edf3299e3f2876554ac8aa64bc5822e97150c,7,0.613,1,,,,,
65-HS1-834228961-62-HQ-83894-Serial-164.pdf,65-HS1-834228961-62-HQ-83894-Serial-164.pdf,65_HS1-834228961_62-HQ-83894_Serial_164,65_HS1-834228961_62-HQ-83894_Serial_164,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:26:45 2026 UTC,Tue May 12 17:06:06 2026 UTC,137,22734336,fafb11efae96654a947177809349c9e10d0149d87c23f5f3af18a57e0b5dfae3,17,0.997,18,,,,,
65-HS1-834228961-62-HQ-83894-Serial-220.pdf,65-HS1-834228961-62-HQ-83894-Serial-220.pdf,65_HS1-834228961_62-HQ-83894_Serial_220,65_HS1-834228961_62-HQ-83894_Serial_220,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:27:03 2026 UTC,Tue May 12 17:07:54 2026 UTC,15,3208280,a61357a986698132d1704002b5eea63f687be0ef214013941fe670da1a9d3914,10,0.387,2,,,,,
65-HS1-834228961-62-HQ-83894-Serial-403.pdf,65-HS1-834228961-62-HQ-83894-Serial-403.pdf,65_HS1-834228961_62-HQ-83894_Serial_403,65_HS1-834228961_62-HQ-83894_Serial_403,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:27:18 2026 UTC,Tue May 12 17:09:43 2026 UTC,3,890862,b557b29df1c6f2c5ff8fa51e5cafb9ef9b61672a38ec0522658a1a13efb8bcae,0,0.953,1,,,,,
65-HS1-834228961-62-HQ-83894-Serial-438.pdf,65-HS1-834228961-62-HQ-83894-Serial-438.pdf,65_HS1-834228961_62-HQ-83894_Serial_438,65_HS1-834228961_62-HQ-83894_Serial_438,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:27:32 2026 UTC,Tue May 12 17:24:00 2026 UTC,40,7579278,88c6b1c82931a1ddcb25c9c8797d8631bb31588f02e7a98717362556335274fc,4,0.925,1,,,,,
65-HS1-834228961-62-HQ-83894-Serial-449.pdf,65-HS1-834228961-62-HQ-83894-Serial-449.pdf,65_HS1-834228961_62-HQ-83894_Serial_449,65_HS1-834228961_62-HQ-83894_Serial_449,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:27:49 2026 UTC,Tue May 12 16:56:27 2026 UTC,18,6900861,2ca8cede91d8fd7964cda2338decd999a5bbff19a662b35352f0d965a46a3999,0,0.981,3,,,,,
DOS-UAP-D1-Cable-1-Papua-New-Guinea-January-1985.pdf,DOS-UAP-D1-Cable-1-Papua-New-Guinea-January-1985.pdf,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985","State Department UAP Cable 1, Papua New Guinea, January 28, 1985",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed May  6 22:57:23 2026 UTC,Wed May 13 11:44:17 2026 UTC,3,306604,566894d9cb31e15818e87d54e848a634ddd711aa7fb9ed72402d4a759e3a3bf8,0,1.0,1,,,,,
DOS-UAP-D2-Cable-2-Kazakhstan-January-1994.pdf,DOS-UAP-D2-Cable-2-Kazakhstan-January-1994.pdf,"State Department UAP Cable 2, Dushanbe Tajikistan, January 31, 1994","State Department UAP Cable 2, Dushanbe Tajikistan, January 31, 1994",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed May  6 22:57:13 2026 UTC,Wed May 13 11:45:14 2026 UTC,3,382367,e1d583556594e3e98f0ceea5598760c9d122283c4582f7d5f6c6c9ad96ad76e3,0,1.0,1,,,,,
DOW-UAP-D10-Mission-Report-Middle-East-May-2022.pdf,DOW-UAP-D10-Mission-Report-Middle-East-May-2022.pdf,D-10,D-10,,,Tue Sep 16 11:13:21 2025 UTC,Thu May  7 19:43:50 2026 UTC,6,663290,f9deed9063306b0c45a5a0f6b754db6967f7dc3a0ed66097f154be4b0f033399,0,0.972,1,,,,,
DOW-UAP-D12-Mission-Report-Iraq-May-2022.pdf,DOW-UAP-D12-Mission-Report-Iraq-May-2022.pdf,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-D12, Mission Report, Iraq, May 2022",,,Tue Nov  4 14:22:53 2025 UTC,Thu May  7 20:35:06 2026 UTC,6,670302,00afb60938d05101a62d0af41fdfc6749612fcea806d90d5a1035a9dc874afb5,0,0.974,1,,,,,
