release_id,pdf_page,entity_type,value_verbatim,value_normalized,norm_rule,candidate_flags
DOW-UAP-D092,26,PERSON,LtCol Ste,Lt Col Ste,RANK,TRUNCATED
DOW-UAP-D092,26,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,27,PERSON,Dr. Brian O'Brien Consultina Phyaicist,Dr. Brian O'Brien Consultina Phyaicist,,CLEAN
DOW-UAP-D092,27,PERSON,Dr. O'Brien,Dr. O'Brien,,CLEAN
DOW-UAP-D092,27,PERSON,Lt Colonel,Lt Col,RANK,TRUNCATED
DOW-UAP-D092,27,PERSON,Dr. Launor F. Carter Mr,Dr. Launor F. Carter Mr,,TRUNCATED
DOW-UAP-D092,27,PERSON,Dr. Richard Porter Dr. Carl,Dr. Richard Porter Dr. Carl,,CLEAN
DOW-UAP-D092,27,PERSON,Dr. Willis H. Ware,Dr. Willis H. Ware,,CLEAN
DOW-UAP-D092,27,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,27,DATE,6 February 1969,6 February 1969,,CLEAN
DOW-UAP-D092,27,MARKING,Secret,SECRET,MARKING,CLEAN
DOW-UAP-D092,28,PERSON,Mr. Don Berliner National Inveatigations,Mr. Don Berliner National Inveatigations,,CLEAN
DOW-UAP-D092,28,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,28,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,28,DATE,27 February 1968,27 February 1968,,CLEAN
DOW-UAP-D092,28,DATE,26 February 1968,26 February 1968,,CLEAN
DOW-UAP-D092,29,PERSON,Mr. Don Berliner Natianal Investigations,Mr. Don Berliner Natianal Investigations,,CLEAN
DOW-UAP-D092,29,PERSON,Lt Colonel,Lt Col,RANK,TRUNCATED
DOW-UAP-D092,29,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,29,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,29,DATE,28 February 1968,28 February 1968,,CLEAN
DOW-UAP-D092,30,PERSON,Lt. Col. Harold A. Steiner Aasiatar,Lt Col Harold A. Steiner Aasiatar,RANK,CLEAN
DOW-UAP-D092,30,PERSON,Col. Steiners Encleaed,Col Steiners Encleaed,RANK,CLEAN
DOW-UAP-D092,30,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,30,ORG,NICAP,NICAP,,CLEAN
DOW-UAP-D092,30,DATE,"Feb. 28, 1968","Feb. 28, 1968",,CLEAN
DOW-UAP-D092,31,PERSON,Mr. Don Berliner,Mr. Don Berliner,,CLEAN
DOW-UAP-D092,31,ORG,Project Bluebook,Project Bluebook,,CLEAN
DOW-UAP-D092,31,ORG,SAF-OICO,SAF-OICO,,CLEAN
DOW-UAP-D092,32,PERSON,Mr. Chester N. Hasert Acting,Mr. Chester N. Hasert Acting,,CLEAN
DOW-UAP-D092,32,PERSON,Mr. Smith,Mr. Smith,,CLEAN
DOW-UAP-D092,32,PERSON,Dr. H. Guyford Stever NW,Dr. H. Guyford Stever NW,,TRUNCATED
DOW-UAP-D092,32,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,32,DATE,"July 27, 1967","July 27, 1967",,CLEAN
